"caseid","Treated","Treated_timer","weight_w2","Salience_1","Salience_2","Salience_3","Concern_humanity","Concern_myself","Govt","Highway","Policy_tax","Policy_goal","Behavior_donate","Behavior_march","Concern_humanity_w2","Concern_myself_w2","Govt_w2","Highway_w2","Policy_tax_w2","Policy_goal_w2","Behavior_donate_w2","Behavior_march_w2","Control_heardaction","Salience_1_w2","Salience_2_w2","Salience_3_w2","FT_next_block","FT_next","region","gender","age","profile_age_rec","hovedstaden","FT_next_wing","SalienceClim_any","SalienceClim_any_w2","SalienceClim_noenv","Manipulation_answer","Manipulation_correct","Manipulation_protest","SalienceClim_any_diff","Concern_humanity_diff","Concern_myself_diff","Govt_diff","Highway_diff","Policy_tax_diff","Policy_goal_diff","Behavior_donate_diff","Behavior_march_diff","Concern_diff","Policy_diff","Behavior_diff","Concern","Policy","Behavior","Concern_w2","Policy_w2","Behavior_w2"
5698231280,0,0,1.07403862654,"Mangel på menneskerettigheder","Racisme","Dårlig Økonomi",6,5,2,4,1,4,3,3,2,2,6,4,1,3,2,2,1,"Folkemordet i Gaza","Statsministeren","Økonomi",1,"B. Radikale Venstre","Middle Jutland","Female",36,"35-54",FALSE,"left",FALSE,FALSE,FALSE,"Klimaforandringer",1,0,0,-4,-3,4,0,0,-1,-1,-1,-3.5,-0.5,-1,5.5,2.5,3,2,2,2
5698231292,0,0,0.687435401644,"mangel på varme hænder","integration","den grønne omstilling",4,6,5,4,5,4,2,1,5,5,4,4,4,3,2,1,1,"velfærdsstaten","integration","miljø og klima",3,"M. Moderaterne","Capital region","Female",31,"18-34",TRUE,"right",FALSE,TRUE,FALSE,"Ved ikke",0,0,1,1,-1,-1,0,-1,-1,0,0,0,-1,0,5,4.5,1.5,5,3.5,1.5
5698249560,1,128.659,0.687435401644,"Stigende priser","Dårligt sundhedsvæsen","Lav mental trivsel",7,5,NA,2,3,4,1,1,5,3,5,3,3,3,1,1,NA,"Inflation","Ventelister på sygehuse","Mental sundhed",2,"V. Venstre, Danmarks Liberale Parti","Capital region","Female",29,"18-34",TRUE,"right",FALSE,FALSE,FALSE,"Klima og bygning af nye motorveje",1,0,0,-2,-2,NA,1,0,-1,0,0,-2,-0.5,0,6,3.5,1,4,3,1
5698266552,1,8.626,1.40264987432,"Skæv magtfordeling mellem unge og gamle","Ulighed","Land/by populisme",7,7,7,5,5,NA,1,1,7,7,6,5,5,5,6,6,NA,"Ulighed","Klima","Kapitalismens fremmedgørende effekt",1,"F. SF - Socialistisk Folkeparti","Middle Jutland","Male",26,"18-34",FALSE,"left",FALSE,TRUE,FALSE,"Klima",1,0,1,0,0,-1,0,0,NA,5,5,0,0,5,7,5,1,7,5,6
5698266554,0,0,1.2562057319,"uddannelse","sundhedsvæsen","klima",7,7,2,2,1,4,1,1,7,7,2,2,1,5,1,1,0,"sygehusvæsen","uddannelse","klima",2,"Æ. Danmarksdemokraterne - Inger Støjberg","Zealand","Female",49,"35-54",FALSE,"right",TRUE,TRUE,TRUE,NA,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,7,2.5,1,7,3,1
5698266556,1,71.643,0.521438518709,"Sygehusenes ventelister","Pskiatrien","Ældreplejen",5,5,1,2,5,4,1,1,7,7,6,4,4,4,2,1,NA,"Phykriatien","Sygehusene","Naturen",1,"F. SF - Socialistisk Folkeparti","Capital region","Male",81,"55+",TRUE,"left",FALSE,TRUE,FALSE,"Nye motorveje",1,0,1,2,2,5,2,-1,0,1,0,2,-0.5,0.5,5,4.5,1,7,4,1.5
5698275292,0,0,1.24660952724,"Islam","Rusland","Klima",6,6,7,3,3,3,1,1,5,6,6,4,1,2,1,1,1,"Krig i Ukraine","Klimaforandringer","Islam",2,"C. Det Konservative Folkeparti","Capital region","Male",34,"18-34",TRUE,"right",TRUE,TRUE,TRUE,"Motorvejene regeringen vil bygge",1,0,0,-1,0,-1,1,-2,-1,0,0,-0.5,-1.5,0,6,3,1,5.5,1.5,1
5698275500,1,41.295,1.51971896474,"danske borgere der ikke kan få deres udelandske partner til landet","lange sager","udlændingestyrelsen",5,3,7,3,3,2,2,2,6,6,7,4,5,1,7,1,NA,"danskeres ret til familiesammenføring","klima","biodiversitet",1,"Ø. Enhedslisten - De Rød-Grønne","Southern Denmark","Male",33,"18-34",FALSE,"left",FALSE,TRUE,FALSE,"klimaforandringerne",1,0,1,1,3,0,1,2,-1,5,-1,2,0.5,2,4,2.5,2,6,3,4
5698319512,0,0,1.25078343713,"Inflation","Energi priser","Skat",2,2,4,2,1,3,3,1,1,4,1,2,1,3,4,1,0,"Inflation","Bankerne","Staten",2,"Æ. Danmarksdemokraterne - Inger Støjberg","Middle Jutland","Male",38,"35-54",FALSE,"right",FALSE,FALSE,FALSE,NA,0,0,0,-1,2,-3,0,0,0,1,0,0.5,0,0.5,2,2,2,2.5,2,2.5
5698319520,1,2.979,1.3143564053,"Ved ikke","","",5,4,2,NA,NA,NA,4,4,7,6,1,2,3,5,6,4,NA,"Klima forandring","Forandringer","",NA,"Har ikke stemmeret","Southern Denmark","Female",35,"35-54",FALSE,"other",FALSE,TRUE,FALSE,"Ved ikke",0,0,1,2,2,-1,NA,NA,NA,2,0,2,NA,1,4.5,NA,4,6.5,NA,5
5698319524,0,0,1.24751841757,"Økonomi","Klima","Krig",7,7,4,3,2,NA,4,NA,7,5,4,2,3,3,4,4,0,"Økonomi","Krig","Sygdom",NA,"Vil ikke stemme","Zealand","Female",31,"18-34",FALSE,"other",TRUE,FALSE,TRUE,NA,0,0,-1,0,-2,0,-1,1,NA,0,NA,-1,1,0,7,2,4,6,3,4
5698319526,1,31.665,1.33318974684,"Krig","Økonomi","",7,7,2,3,2,2,4,4,7,5,4,2,4,4,5,5,NA,"Krig","Økonomi","Sundhed",1,"Ø. Enhedslisten - De Rød-Grønne","Middle Jutland","Female",34,"18-34",FALSE,"left",FALSE,FALSE,FALSE,"Ved ikke",0,0,0,0,-2,2,-1,2,2,1,1,-1,2,1,7,2,4,6,4,5
5698319584,1,3.13,1.24660952724,"AXA","","",7,7,1,1,5,5,7,7,7,7,1,1,5,5,7,7,NA,"Klima forandring","søge tilflugt","",2,"D. Nye Borgerlige","Capital region","Male",32,"18-34",TRUE,"right",FALSE,TRUE,FALSE,"Ved ikke",0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,5,7,7,5,7
